District,Area,Latitude,Longitude
동구,중앙동,36.3311237,127.4358828213652
동구,신인동,36.32258335,127.44145654349609
동구,효동,36.31026525,127.45650210452325
동구,판암1동,36.3172508,127.46937224141104
동구,판암2동,36.3208705,127.45456476024196
동구,용운동,36.3286583,127.4597787
동구,대동,36.329449,127.4429386
동구,자양동,36.3366812,127.4490374
동구,가양1동,36.3433022,127.44323045874127
동구,가양2동,36.3478664,127.45426409989611
동구,용전동,36.353219,127.4341323
동구,성남동,36.3442567,127.434264
동구,홍도동,36.34807,127.42578713041325
동구,삼성동,36.338791650000005,127.4244989914209
동구,대청동,36.37019239999999,127.4929069133419
동구,산내동,36.249404999999996,127.46259129848485
중구,은행선화동,36.331241649999996,127.42068833169517
중구,목동,36.3341817,127.4091513
중구,중촌동,36.3405658,127.4112545
중구,대흥동,36.3227747,127.4254193
중구,문창동,36.3179965,127.4358892
중구,석교동,36.301948949999996,127.44146088872432
중구,대사동,36.3111317,127.4228059
중구,부사동,36.3102406,127.4319984
중구,용두동,36.3298999,127.4066297
중구,오류동,36.3253384,127.4050329
중구,태평1동,36.3282514,127.3984848683599
중구,태평2동,36.324731799999995,127.3915058047865
중구,유천1동,36.31612175,127.39246126736876
중구,유천2동,36.31645485,127.39985131264189
중구,문화1동,36.3094172,127.41225308370653
중구,문화2동,36.30743365,127.40244004504174
중구,산성동,36.260800950000004,127.40969423762314
서구,복수동,36.3025425,127.3765406
서구,도마1동,36.32031095,127.37846577986296
서구,도마2동,36.32027465,127.36537961337218
서구,정림동,36.3041554,127.3660345
서구,변동,36.3265707,127.379636
서구,괴정동,36.3387125,127.3801571
서구,가장동,36.3312812,127.3873474
서구,내동,36.3329075,127.3781224
서구,가수원동,36.290024200000005,127.35207301913562
서구,도안동,36.31823425,127.3477241876171
서구,관저1동,36.307657,127.33710595334891
서구,관저2동,36.29144545,127.33270247960759
서구,기성동,36.2340235,127.32498999108589
서구,용문동,36.336642,127.3948613
서구,탄방동,36.3450208,127.391157
서구,둔산1동,36.35311179999999,127.38914280180543
서구,둔산2동,36.351663599999995,127.37837651207556
서구,둔산3동,36.35418775,127.39946130833516
서구,갈마1동,36.34647725,127.37400325423708
서구,갈마2동,36.3481058,127.36608934122559
서구,월평1동,36.34366905,127.35636745136435
서구,월평2동,36.36197785,127.37692195100468
서구,월평3동,36.36139315,127.36760918235777
서구,만년동,36.3682266,127.3829954
유성구,진잠동,36.298924799999995,127.29179473567943
유성구,상대동,36.34070255,127.32946877611391
유성구,원신흥동,36.342599500000006,127.34629722839638
유성구,학하동,36.342551099999994,127.29648328750464
유성구,온천1동,36.355434349999996,127.33190154873624
유성구,온천2동,36.36989365,127.35219728551176
유성구,노은1동,36.3667081,127.29118487857181
유성구,노은2동,36.400459350000006,127.31440442609913
유성구,노은3동,36.386334149999996,127.29772565460206
유성구,신성동,36.403783849999996,127.35400911630964
유성구,전민동,36.393580299999996,127.39607375257896
유성구,관평동,36.42269905,127.39836712450744
유성구,구즉동,36.460359,127.37897202377859
대덕구,오정동,36.3546956,127.4153096
대덕구,대화동,36.36957,127.40755
대덕구,회덕동,36.397458549999996,127.43347638406343
대덕구,비래동,36.3614197,127.4544419
대덕구,송촌동,36.3647565,127.4428203
대덕구,중리동,36.3629656,127.4280754
대덕구,법1동,36.37100375,127.42613547667472
대덕구,법2동,36.37426765,127.43735556382148
대덕구,신탄진동,36.440321350000005,127.46161342287746
대덕구,석봉동,36.4508711,127.4242344
대덕구,덕암동,36.4310494,127.42851214308854
대덕구,목상동,36.439993,127.4026967640411
